ruzgardan rüzgardan
diyosanız diyorsanız
ddaha daha
söyleyebilecegim söyleyebileceğim
konusamayan konuşamayan
kullanmayi kullanmayı
yapiliyor yapılıyor
ikisinide ikisinde
videolarini videolarını
kalcak kalacak
tarıhe tarihe
semsıye şemsiye
saglayacak sağlayacak
durust dürüst
bşr bir
beklentım beklentim
ederız ederiz
cabalari çabaları
gucler güçler
şöforun şoförün
boylesine böylesine
ederım ederim
muzikal müzikal
ızlemeden izlemeden
agzi ağız
gordugumde gördüğümde
misir mısır
dilmi dilim
yazacagim yazacağım
heman hemen
soruldugunda sorulduğunda
soforu şoförü
asilan asılan
soyle söyle
alinmayacak alınmayacak
tekbır tekbir
hissetiren hissettiren
kirklareli kırklareli
vücüt vücut
diyer diğer
şaçma saçma
tavri tavrı
hayatımdakı hayatımdaki
aksyon aksiyon
temte tente
verecegım vereceğim
gormustum görmüştüm
şöle şöyle
civi çivi
yapmasin yapmasın
tatsiz tatsız
etmiyecem etmeyeceğim
gecmıs geçmiş
gosterilmesi gösterilmesi
aslinda aslında
etmistim etmiştim
kailteli kaliteli
gıtmıstım gitmiştim
kotüydu kötüydü
harkaydı harika
gıtmıstık gitmiştik
gerektıren gerektiren
emeğın emeğin
hakkımda hakkında
kaybetmis kaybetmiş
kafasini kafasını
düstü düştü
polıs polis
patriots Patriot
ılkım ilkim
kafasina kafasına
etkısınden etkisinden
eksikligi eksikliği
geiyor geliyor
açıkcası açıkçası
tenezzul tenezzül
olmadığıni olmadığını
güzellği güzelliği
yapılyor yapılıyor
baslangıc başlangıç
bellı belli
diğil değil
arkdaşlar arkadaşlar
selcuk Selçuk
baslangicta başlangıçta
degişik değişik
cita çıta
fotograflara fotoğraflara
yazilari yazıları
gerekılen gerekilen
çocuklari çocukları
beğri beri
göbegi göbeği
izmitten Izmit'ten
farkliydi farklıydı
gitmeyn gitmeyin
degilmis değilmiş
yakinda yakında
akliniza aklınıza
seruven serüven
lazim lazım
insanalr insanlar
belkı belki
kullanmasi kullanması
bogulduk boğulduk
fıyaskoydu fiyaskoydu
sirada sırada
calısan çalışan
olalim olalım
kisimlarina kısımlarına
detaylarini detaylarını
degiliz değiliz
eleştrisi eleştirisi
beğendm beğendim
farklilik farklılık
unutmayin unutmayın
ariyorsaniz arıyorsanız
mahsülü mahsulü
degilim değilim
cıkıyoruz çıkıyoruz
sariyer Sarıyer
başliyor başlıyor
gorsellik görsellik
yzden yüzden
ondandir ondandır
açok çok
tebrıkler tebrikler
bilmedigim bilmediğim
hayatinda hayatında
hayatindan hayatından
yaklasimlari yaklaşımları
gorsun görsün
kelimei kelime
baktıgımızda baktığımızda
ızlıyorum izliyorum
bayiliyorum bayılıyorum
bulundugumuz bulunduğumuz
sayesınde sayesinde
gelicekmiş gelecekmiş
yanindaki yanındaki
gunaydin günaydın
atli atlı
galataray Galatasaray
kalanlari kalanları
ugrayacaktir uğrayacaktır
dolaşıyo dolaşıyor
onlarin onların
umrunda umurunda
gzel güzel
keske keşke
müslum Müslüm
cigdem çiğdem
seyredılebılecek seyredilebilecek
yildizi yıldız
kiyaslarsam kıyaslarsam
agri ağrı
yaziyo yazıyor
yasini yaşını
etmeyecegim etmeyeceğim
örn örnek
cikartmasi çıkartması
artmasi artması
güzen güzel
araliksiz aralıksız
güzek güzel
sondakı sondaki
görüsüm görüşüm
diyererek diyerek
artti arttı
olmadim olmadım
olmadik olmadık
ustalarin ustaların
saclari saçları
eylul eylül
girdigimde girdiğimde
flım film
yaşıyosunuz yaşıyorsunuz
ızlemekten izlemekten
kişilk kişilik
hastalari hastaları
sasırttı şaşırttı
nıhayet nihayet
tavir tavır
başıda başında
tarafini tarafını
zamannda zamanında
atip atıp
gorseller görseller
ızlenebılecek izlenebilecek
sagliyor sağlıyor
vardi vardı
atif atıf
alkolu alkolü
baktigimda baktığımda
klübünde kulübünde
ıstanbul istanbul
sehirler şehirler
hristiyanlik hristiyanlık
degildi değildi
olmayacagı olmayacağı
sekildr şekilde
ıcersınde içerisinde
anlamiyor anlamıyor
insallah inşallah
gıdenler gidenler
vallaha vallahi
cewap cevap
yakasi yakası
sahnesı sahnesi
tesekkür teşekkür
tasvsiye tavsiye
araliklarla aralıklarla
mükemmell mükemmel
açik açık
nesın nesin
cocuklarını çocuklarını
agacin ağacın
goruntu görüntü
önc önce
tanesıydı tanesiydi
tarzlari tarzları
johhny Johnny
cinsiyetci cinsiyetçi
guncel güncel
worlds World
konusması konuşması
olsaydim olsaydım
islevsiz işlevsiz
gecenleri geçenleri
olsaydik olsaydık
gecenlere geçenlere
avantaji avantajı
cocukluk çocukluk
dezavantaji dezavantajı
kalıcak kalacak
ayrani ayranı
cocuklarımı çocuklarımı
puanlari puanları
bunaldik bunaldık
konusmaya konuşmaya
kıbrısta Kıbrıs'ta
çocuklarin çocukların
aglamaya ağlamaya
çocuklarim çocuklarım
bılırsınız bilirsiniz
şurdan şuradan
dehset dehşet
ihtiyaci ihtiyacı
ates ateş
vericem vereceğim
bependim beğendim
vericek verecek
cinar çınar
yazisi yazısı
seridi şerit
degistirir değiştirir
alınabılırdı alınabilirdi
ibir bir
degistirip değiştirip
düsünmek düşünmek
cım çim
kacmak kaçmak
degistirin değiştirin
alarmi alarmı
seferkı seferki
surmeli sürmeli
herald herhalde
etmıyorum etmiyorum
cikarken çıkarken
olmuyacağınız olmayacağınız
koydugu koyduğu
arkadasima arkadaşıma
anlamiyla anlamıyla
yaptilar yaptılar
bicim biçim
göründügü göründüğü
gozlugu gözlüğü
gercekte gerçekte
kesınlıkle kesinlikle
sorucam soracağım
ızlenmesını izlenmesini
kullanmıslar kullanmışlar
kıymetını kıymetini
oldugu olduğu
falza fazla
bnun bunun
etrafinda etrafında
alabılırdım alabilirdim
konmus konmuş
basmıs başmış
sakli saklı
agustosta ağustosta
abartılcak abartılacak
hisettim hissettim
yıne yine
ögrenıp öğrenip
basarili başarılı
enterasan enteresan
ınsanın insanın
gecmesi geçmesi
oglum oğul
vermelerı vermeleri
sifir sıfır
aynıu aynı
agir ağır
sınemasına sinemasına
aldıgımı aldığımı
haşare haşere
kulturel kültürel
flimleri film
bılıyorsunuz biliyorsunuz
its it
harkulede harikulade
from forma
yurek yürek
cıkana çıkana
zorlastiriyor zorlaştırıyor
turmus turmuş
karatas Karataş
degısık değişik
bazi bazı
dusunmuyorlar düşünmüyorlar
olmayacagi olmayacağı
cocugunu çocuğunu
baze bazen
gosterip gösterip
yaptıgını yaptığını
bagiran bağıran
gosterim gösterim
yonuyle yönüyle
degerlendırıp değerlendirip
lambs lamba
vasatti vasattı
cocuguna çocuğuna
ettım ettim
basarmislar başarmışlar
özellkile özellikle
degistiren değiştiren
sakiz sakız
kapatilmis kapatılmış
olmaliydi olmalıydı
cocugumu çocuğumu
ordan oradan
sakir şakir
icerigi içeriği
yillarin yılların
kardesimle kardeşimle
degmeyecek değmeyecek
eglendirici eğlendirici
ısterdım isterdim
kizlar kızlar
ulkemiz ülkemiz
konusmasi konuşması
kandim kandım
degistirdi değiştirdi
duzeyde düzeyde
sirasinda sırasında
artis artış
ılıskıler ilişkiler
amacli amaçlı
insanlarn insanların
artik artık
keyıf keyif
insanlari insanları
kdar kadar
temal termal
telasina telaşına
fesh fesih
söylerek söyleyerek
gecirdigim geçirdiğim
umud umut
yakinlari yakınları
performas performans
performan performans
süprizle sürprizle
agaç ağaç
giris giriş
sikilmadan sıkılmadan
gidebileceginiz gidebileceğiniz
yollari yolları
terkedıp terkedip
arakdaşlar arkadaşlar
velhasil velhasıl
gozyasi gözyaşı
rengını rengini
malesef maalesef
ayirttim ayırttım
etmiyeceğim etmeyeceğim
arabasini arabasını
amerikada Amerika'da
gosteren gösteren
ornegı örneği
arabasina arabasına
vakıt vakit
secimleri seçimleri
baglantılı bağlantılı
hakkindaki hakkındaki
takilmazsaniz takılmazsanız
ödediginiz ödediğiniz
safadaydı Safa
tecrubesizdi tecrübesizdi
gorsem görsem
gorsel görsel
gelmeyın gelmeyin
yalnizca yalnızca
gosterdi gösterdi
mılyona milyona
dahasi dahası
yarasi yarası
orjinali orijinali
dıyor diyor
otesı ötesi
muhtesem muhteşem
durumuda durumunda
patlamıs patlamış
bıkmıstık bıkmıştık
gitmedigi gitmediği
müthişdi müthişti
praya Prag
sölemek söylemek
oteye öteye
cocuklarınızla çocuklarınızla
oglunun oğlunun
herkesden herkes
diyebilecegim diyebileceğim
romantık romantik
alinabilecek alınabilecek
çanakkaleden Çanakkale'den
yillarda yıllarda
tarafındanda tarafından
olcağını olacağını
asyada Asya'da
basi bası
gunahsiz günahsız
harikaydiniz harikaydınız
gereksız gereksiz
tasiyorlar taşıyorlar
harike harika
açlışıyor çalışıyor
aktarim aktarım
genis geniş
yillarca yıllarca
ramen rağmen
ilm ilim
masasi masası
sebeb sebep
etmiyolar etmiyorlar
durulmus durulmuş
geldiginde geldiğinde
altindan altından
başdan baştan
cıktım çıktım
cıktık çıktık
tahmın tahmin
gercekcı gerçekçi
kronos kron
gözüküyo gözüküyor
yapicak yapacak
cevre çevre
susleyip süsleyip
konusmali konuşmalı
fema fena
ınsanların insanların
ogut öğüt
elestirim eleştirim
ike iken
suruyor sürüyor
russo Rousseau
geldigince geldiğince
nüfüs nüfus
multeci mülteci
inun onun
ogul oğul
anlatıldıgı anlatıldığı
keyfım keyfim
yurekli yürekli
tanismak tanışmak
fritz fritöz
police poliçe
dıyemem diyemem
rabban rabbani
olmasindan olmasından
oynadıgı oynadığı
gorunen görünen
karsısında karşısında
dolayi dolayı
lutfen lütfen
vermişer vermişler
olmalilar olmalılar
dayanamayip dayanamayıp
hariha harika
izmire Izmir'e
kalinir kalınır
anlatti anlattı
baglama bağlama
iin için
ızlenebılır izlenebilir
gorundu göründü
süprizdi sürprizdi
bittikden bittikten
antalyada Antalya'da
denizalti denizaltı
beklentı beklenti
dınledıgım dinlediğim
edıp edip
insa inşa
sonrasi sonrası
ulkesi ülkesi
araliginda aralığında
otesi ötesi
saints Saint
kendizi kendinizi
fecı feci
uyandirdi uyandırdı
band bant
gorunce görünce
falks faks
uzdu üzdü
restauranta restorana
ragmen rağmen
beklemeyın beklemeyin
kendısını kendisini
ögretim öğretim
olusuyor oluşuyor
elestiren eleştiren
kaynasma kaynaşma
cizik çizik
elestirel eleştirel
firsat fırsat
ediyorumm ediyorum
durdugu durduğu
almıslar almışlar
kısımı kişimi
sınemasından sinemasından
sonrakı sonraki
espiri espri
ediyolardı ediyorlardı
perfomansı performansı
bakarsaniz bakarsanız
öcne önce
frat Fırat
kalabilecegi kalabileceği
disindakiler dışındakiler
olcağına olacağına
görünüyo görünüyor
mükemmle mükemmel
kotusunu kötüsünü
asikar aşikar
eglendim eğlendim
sinifa sınıf
eglendik eğlendik
olacagını olacağını
fılmın filmin
parasini parasını
perfomans performans
umit ümit
edebilecegi edebileceği
parasina parasına
tahammul tahammül
calisiyorum çalışıyorum
fılmını filmini
measj mesaj
kalmıyo kalmıyor
atlanmıs atlanmış
gercekci gerçekçi
kaldıgını kaldığını
uyandiracak uyandıracak
muhteşe muhteşem
gurses Gürses
masali maşalı
bukucu bükücü
uyandiran uyandıran
cizgi çizgi
tartismak tartışmak
cocuklar çocuklar
anlamadim anlamadım
olucakmış olacakmış
yazmasina yazmasına
vatandasi vatandaşı
anlamadik anlamadık
neseli neşeli
kaybedersenız kaybederseniz
bnde bende
guzelligini güzelliğini
dıyen diyen
kayiyor kayıyor
ustlerde üstlerde
tabır tabir
eglenceliydi eğlenceliydi
genal genel
ırkcılık ırkçılık
zayifliklar zayıflıklar
sancagi sancak
yapıldıgına yapıldığına
bnce bence
eğlencel eğlenceli
sirasina sırasına
aliyor alıyor
havasini havasını
ögreten öğreten
sevecegi seveceği
sikayeti şikayeti
şimdik şimdi
sektoru sektörü
duzensiz düzensiz
kalinca kalınca
herkezden herkesten
afrikanın Afrika'nın
cevik çevik
yakınen yakinen
alkası alakası
yetiskinleri yetişkinleri
kanadini kanadını
yetiskinlere yetişkinlere
nicin niçin
begenmedım beğenmedim
yalnış yanlış
degme değme
oglu oğlu
sukunet sükunet
inşaa inşaat
olmayacaktir olmayacaktır
asamali aşamalı
aldigim aldığım
disari dışarı
2011e 2011'e
harcanmis harcanmış
yazmıslar yazmışlar
yakışmıyacak yakışmayacak
sanmiyorum sanmıyorum
altindaki altındaki
koltuguna koltuğuna
konusmasini konuşmasını
umdugunu umduğunu
oglan oğlan
bagi bağırsak
teşekkürlerr teşekkürler
sebeblerinden sebeplerinden
içerde içeride
cıplak çıplak
tipki tıpkı
uye üye
bunlari bunları
gozlerim gözlerim
diyorsaniz diyorsanız
bitiyo bitiyor
yadirgadim yadırgadım
istemedigim istemediğim
sisirme şişirme
yasanir yaşanır
umdugumu umduğumu
kısıma kışıma
bulanik bulanık
kalacaginiz kalacağınız
buyutu boyutu
hayatimda hayatımda
oteki öteki
ızledıgım izlediğim
diyebilceğim diyebileceğim
bolumunu bölümünü
yildiz yıldız
anımasyon animasyon
inanamiyorum inanamıyorum
acenta acente
yildir yıldız
mahfetmişler mahvetmişler
dahada daha
bolumune bölümüne
mükemmek mükemmel
çalisma çalışma
umrumda umurunda
ankaranın Ankara'nın
açisindan açısından
sacmalıklar saçmalıklar
yazayim yazayım
inis iniş
yorumlari yorumları
etmis etmiş
kalteli kaliteli
secenegi seçeneği
kılişe klişe
sebebleri sebepleri
anlatip anlatıp
baglı bağlı
onbasi onbaşı
anlatim anlatım
değill değil
itinali itinalı
aski askı
gıttıgım gittiğim
degil değil
houma hoşuma
degiller değiller
seyırcıyı seyirciyi
iimiş iyiymiş
belırten belirten
gitmeyın gitmeyin
kafanizi kafanızı
gıttım gittim
dığer diğer
sıkılmadıgı sıkılmadığı
gıttık gittik
köpügü köpük
asagı aşağı
kafaniza kafanıza
artilari artıları
titans titan
seklinde şeklinde
muhteşemm muhteşem
mısal misal
soyleyecek söyleyecek
televiyon televizyon
ewet evet
tenefüs teneffüs
espiriler espriler
payi payı
ozkan Özkan
ülkenın ülkenin
seviyedi seviyeydi
sirin şirin
asik aşık
arthurun Arthur'un
deyildi değildi
sellers seller
oluyosun oluyorsun
klasık klasik
coktan çoktan
soylenemez söylenemez
yorumlarin yorumların
dogrusu doğrusu
muzayede müzayede
zamanlari zamanları
oturmamis oturmamış
kanli kanlı
gıdıyordum gidiyordum
edilebilcek edilebilecek
anlasilan anlaşılan
kalmanin kalmanın
ust üst
bulandi bulandı
dikat dikkat
coğu çoğu
yemeginizi yemeğinizi
aramasi araması
milliyetci milliyetçi
deger değer
saglik sağlık
rusca rusça
baslari başları
çıkışda çıkışta
tesbit tespit
birgun birgün
uyandirici uyandırıcı
türkiyenin Türkiye'nin
seslenıyorum sesleniyorum
ettıgım ettiğim
fatklı farklı
sekılde şekilde
başarlı başarılı
caydanlık çaydanlık
ariyor arıyor
tavsite tavsiye
salonlari salonları
degdi değdi
paun puan
kanit kanıt
ulkede ülkede
icinse içinse
fılm film
karinca karınca
ustalik ustalık
cilali cilalı
morgana Morgan
fıkrım fikrim
ınsanlar insanlar
bır bir
dokunuslarla dokunuşlarla
ciftleri çiftleri
bın bin
oldğu olduğu
bagli bağlı
seyırcıye seyirciye
sevdıgım sevdiğim
tavsye tavsiye
asagi aşağı
past pasta
gerceklik gerçeklik
uzerınden üzerinden
bakıyodu bakıyordu
aliskanlik alışkanlık
sovalye şövalye
arkadasi arkadaşı
arkadasa arkadaşa
geldigi geldiği
komedı komedi
olmadıgını olmadığını
bilmiyodum bilmiyordum
bilmiyoduk bilmiyorduk
yukardaki yukarıdaki
başlıyarak başlayarak
hur hür
muhtesemdi muhteşemdi
değidi değildi
dort dört
konusmalar konuşmalar
olmadıgı olmadığı
taraflari tarafları
odugunu olduğunu
ççok çok
odasinda odasında
görunce görünce
fıkrını fikrini
imkansiz imkansız
yiyecegin yiyeceğin
kalani kalanı
kasayi kasayı
kardeşlerın kardeşlerin
değildı değildi
yakiyor yakıyor
kaçırıyo kaçırıyor
bagis bağış
anliyorsunuz anlıyorsunuz
baslama başlama
tşkler teşekkürler
yakismayan yakışmayan
meseka mesela
kaale kale
edebiyati edebiyatı
begendigim beğendiğim
guclu güçlü
yapmiyor yapmıyor
mukkemmel mükemmel
zellanda Zelanda
altyazi altyazı
cukur çukur
olamadi olamadı
ıstıyorum istiyorum
ugratmadı uğratmadı
almiş almış
bolununce bölününce
girisindeki girişindeki
anlıyacağınız anlayacağınız
cınsellık cinsellik
çalisan çalışan
kulanımı kullanımı
ankaradaki Ankara'daki
tarihde tarihte
tekk tek
gectigini geçtiğini
akillara akıllara
özellile özellikle
buyugu büyüğü
basladı başladı
pismanim pişmanım
ötesı ötesi
gulmedım gülmedim
oldukçe oldukça
saglar sağlar
ızleyecek izleyecek
inanilmazdi inanılmazdı
saglam sağlam
dıyorsun diyorsun
icten içten
okudugum okuduğum
ıslerınde işlerinde
kalıcaktım kalacaktım
içın için
saglikla sağlıkla
özellike özellikle
arkasi arkası
kaynaklaniyor kaynaklanıyor
koye köy
sebebı sebebi
kotü kötü
eksigi eksiği
ğüzel güzel
bzim bizim
tessekkür teşekkür
teprik tebrik
ayagını ayağını
birakmali bırakmalı
cekilmeye çekilmeye
saygilar saygılar
hot Hotel
hos hoş
dusunceleri düşünceleri
malaesef maalesef
kusatma kuşatma
olmadıgına olmadığına
arkasini arkasını
edemıyor edemiyor
hissetim hissettim
getircek getirecek
olabilceğini olabileceğini
erıklı erikli
arkasina arkasına
cıkmaz çıkmaz
orjinal orijinal
kullanim kullanım
anlamiyorlar anlamıyorlar
elını elini
vatandas vatandaş
arastirarak araştırarak
cıkmak çıkmak
mantigi mantığı
ulkeler ülkeler
konus konuş
oglumuz oğlumuz
degişimi değişimi
klübüne kulübüne
yapaçak yapacak
oglumun oğlumun
huzun hüzün
uyarilari uyarıları
bıcak bıçak
geçemeyecegim geçemeyeceğim
özelligi özelliği
hanfendi hanımefendi
tuvelet tuvalet
yardimcilar yardımcılar
isteyeceginiz isteyeceğiniz
yetmedigi yetmediği
yenii yeni
yaşadıgımız yaşadığımız
nostajik nostaljik
insaat inşaat
yokdu yoktu
gasper Casper
aksaklik aksaklık
anlamıs anlamış
hibir hiçbir
resort Resort'u
onunden önünden
danismanlik danışmanlık
tutmuslar tutmuşlar
konsu konusu
dansci dansçı
bagırıyor bağırıyor
tedy Teddy
geldigimde geldiğimde
ayrılmıs ayrılmış
cıksın çıksın
gırer girer
bıttıgını bittiğini
kamerasi kamerası
bekleyelım bekleyelim
gıren giren
bakıyosunuz bakıyorsunuz
yanina yanına
basladi başladı
pismanlik pişmanlık
haraketler hareket
almis almış
kosu koşu
hazirlanmamis hazırlanmamış
sabirli sabırlı
auora Aurora
sabirla sabırla
2010da 2010'da
kose köşe
cıkmadıgım çıkmadığım
sahsen şahsen
yapmislar yapmışlar
yapıcam yapacağım
yapıcak yapacak
cızgı çizgi
dogu doğu
cekilmesi çekilmesi
deilim değilim
olmamasini olmamasını
gosteriliyor gösteriliyor
hiz hız
olabilr olabilir
doga doğa
olmamasina olmamasına
kullandi kullandı
begenmıs beğenmiş
gitmeyecegim gitmeyeceğim
olabili olabilir
beklediğm beklediğim
zırvede zirvede
yapilacak yapılacak
icinde içinde
hic hiç
onceleri önceleri
londrada Londra'da
ilili ilgili
edilmis edilmiş
çoluk çocuk
etmısler etmişler
yapilmaya yapılmaya
siralar sıralar
mekanin mekanın
çünki çünkü
esyalarini eşyalarını
bimiyorum bilmiyorum
kaplani kaplan
birakmadi bırakmadı
flort flört
yerıne yerine
elıne eline
diğe diğer
elınıze elinize
ayrilmasi ayrılması
beklentılerınızı beklentilerinizi
flore flora
artk artık
ıstılası istilası
arti artı
birakmalari bırakmaları
dolaysıyla dolayısıyla
gerekiyodu gerekiyordu
zamanimizi zamanımızı
kanaatımce kanaatimce
kook Cook
dörter dörder
odanin odanın
yasattiklari yaşattıkları
akalite kalite
zarfinda zarfında
acılıs açılış
geçirebileceginiz geçirebileceğiniz
yuruyup yürüyüp
kacmiyor kaçmıyor
rahatligiyla rahatlığıyla
kiyamet kıyamet
acimdan açımdan
uyusmayan uyuşmayan
refarans referans
ayfon iphone
herlade herhalde
zamani zamanı
elestıren eleştiren
diyaloğları diyalogları
gormedigim görmediğim
modasi modası
teşekürler teşekkürler
fakit fakir
aksıyonu aksiyonu
insanlik insanlık
eglendirecek eğlendirecek
elestirecegim eleştireceğim
gectikce geçtikçe
desim dedim
sampiyon şampiyon
deildi değildi
jeanne Jean
aksıyona aksiyona
gğzel güzel
sagliyorlar sağlıyorlar
egitim eğitim
mavis Maviş
leone Leon
motorlari motorları
almanizi almanızı
konusulacak konuşulacak
yapacagini yapacağını
gıtmem gitmem
wals vals
oglumla oğlumla
gıtmek gitmek
sızlerı sizleri
doal doğal
kelımesı kelimesi
kazasi kazası
farkllı farklı
ekrani ekranı
ediyo ediyor
sınemayı sinemayı
ambiansı ambiyansı
getirilmis getirilmiş
umariz umarız
tekra tekrar
istiyolar istiyorlar
umarim umarım
teşşekür teşekkür
istiyosanız istiyorsanız
fransadan Fransa'dan
soylemiyorum söylemiyorum
yapilmasi yapılması
gelecez geleceğiz
kalıtesını kalitesini
hissediceksiniz hissedeceksiniz
herkezın herkesin
anlasma anlaşma
suphe şüphe
yiğenim yeğenim
mağlum malum
fazlaligindan fazlalığından
dortluk dörtlük
tesellı teselli
kendınızı kendinizi
uzunlugunda uzunluğunda
oaray oraya
romani roman
bogle böyle
gecmiyor geçmiyor
etmiyo etmiyor
adanaya Adana'ya
sarkilari şarkıları
sonuda sonunda
bğendim beğendim
deginmek değinmek
karsılıgına karşılığına
sıkıyo sıkıyor
alakasi alakası
paranizi paranızı
bakımındn bakımından
olmuyo olmuyor
suclu suçlu
veriyolar veriyorlar
paraniza paranıza
gormedi görmedi
geçemiyeceğim geçemeyeceğim
kanmayin kanmayın
tatli tatlı
super süper
kalmiş kalmış
devemlı devamlı
şekiilde şekilde
gitmistim gitmiştim
soyliyemem söyleyemem
nın nine
oolması olması
olmadıgından olmadığından
yetşkin yetişkin
gittigin gittiğin
istedigi istediği
gittigim gittiğim
hıssederek hissederek
yapıo yapıyor
gırıyor giriyor
kiriyorum kırıyorum
yapmadim yapmadım
karsin karşın
çalısma çalışma
saymiyorum saymıyorum
yapmadik yapmadık
tamamiyle tamamıyla
tamamiyla tamamıyla
kullanimi kullanımı
ogrenmek öğrenmek
dıken diken
cözum çözüm
kıtabını kitabını
parelel paralel
gorundugu göründüğü
baski baskı
kıyafetlerı kıyafetleri
dusunmeyin düşünmeyin
düsündüren düşündüren
fakar fakat
karşi karşı
verildigini verildiğini
baska başka
rastlamadim rastlamadım
tup tüp
bildiginiz bildiğiniz
evel evvel
tum tüm
amerka Amerika
dunyanin dünyanın
sınemaya sinemaya
dnya dünya
seklınde şeklinde
mekanlarin mekanların
bırbırınden birbirinden
cekmeyen çekmeyen
azaman zaman
döncez döneceğiz
yakışmıcak yakışmayacak
görünmüyo görünmüyor
gelmıs gelmiş
aklinizda aklınızda
kodi kodu
basin basın
frankı frangı
basim basım
yapilmali yapılmalı
kalmamis kalmamış
ızlerken izlerken
techizat teçhizat
borcluyum borçluyum
onumuze önümüze
uzaginda uzağında
geciyor geçiyor
cöp çöp
çikarken çıkarken
uzgunum üzgünüm
arabalarin arabaların
haraket hareket
korkunc korkunç
toplari topları
caresine çaresine
barindiriyor barındırıyor
muziklerde müziklerde
baslamak başlamak
defek tefek
performası performansı
gosterilmesine gösterilmesine
şekile şekilde
çoçukları çocukları
dolasıp dolaşıp
ızleyıp izleyip
gudumlu güdümlü
ızleyın izleyin
olduklarini olduklarını
elektirikli elektrikli
noktalari noktaları
oladığı olmadığı
gordum gördüm
siddetle şiddetle
gorduk gördük
rolu rolü
iliskilerini ilişkilerini
alakali alakalı
iliskilerine ilişkilerine
ısteyenler isteyenler
görüsmek görüşmek
isigi ışık
killers killer
bulmustum bulmuştum
karsilama karşılama
merhbalar merhabalar
olacaktir olacaktır
doldurulmus doldurulmuş
elestirileri eleştirileri
istedigini istediğini
buyuk büyük
çocugunu çocuğunu
elestirilere eleştirilere
tamamlayici tamamlayıcı
uzerine üzerine
arkadaslarini arkadaşlarını
iiydi iyiydi
dogaya doğaya
arkadaslarina arkadaşlarına
dusmus duşmuş
iliskileri ilişkileri
söyliyebilirim söyleyebilirim
alakadı alakası
atatürkü Atatürk'ü
ınce ince
sonlandirdi sonlandırdı
ardi ardı
istedigimi istediğimi
tutmus tutmuş
kisiyi kişiyi
kaliyor kalıyor
kisiye kişiye
anlayamadıgım anlayamadığım
araclarda araçlarda
arkadaslarima arkadaşlarıma
sağlıyo sağlıyor
bogazda boğazda
bogaz boğaz
bugunden bugünden
meyva meyve
gun gün
dayi dayı
gıdıcem gideceğim
dkkada dakikada
gelisme gelişme
guc güç
dediginiz dediğiniz
muzikler müzikler
yapacaginiz yapacağınız
elanor Eleanor
berbar beraber
animasyonlari animasyonları
attim attım
bulundugunu bulunduğunu
aray araya
çop çöp
düşünuyorum düşünüyorum
yapinca yapınca
mutevazi mütevazi
cıkmıslar çıkmışlar
taslari taşları
çol çöl
abartilacak abartılacak
gitiğim gittiğim
otobüsdeki otobüsteki
ıstedıgım istediğim
kitaplari kitapları
arad arada
karsiya karşıya
arac araç
byle böyle
savci savcı
kısmıda kısmında
tasima taşıma
kostumu kostüm
herr her
apply Apple
yonunden yönünden
devırde devirde
linc linç
kullanici kullanıcı
adanali adanalı
gelecegin geleceğin
yapilmadi yapılmadı
nedır nedir
cektım çektim
oluyo oluyor
agzınızda ağzınızda
firmasinin firmasının
almiyor almıyor
çoçuklara çocuklara
gelismis gelişmiş
duydugunuz duyduğunuz
kelıme kelime
oldugunuz olduğunuz
degerlendiriyorum değerlendiriyorum
arkadastan arkadaştan
boylesi böylesi
oldugunuzu olduğunuzu
japonyaya Japonya'ya
tekar tekrar
çalısan çalışan
oldugunun olduğunun
atatürke Atatürk'e
savas savaş
populer popüler
sorunlarıda sorunları
begendigimi beğendiğimi
gozler gözler
şekide şekilde
ısıkları ışıkları
heps hepsi
işyi iyi
zayifti zayıftı
hasim Haşim
dusunun düşünün
beenmedim beğenmedim
ortaminda ortamında
yaslilik yaşlılık
bılındık bilindik
davranislarina davranışlarına
seytan şeytan
ıçın için
kaltesini kalitesini
tir tır
mılyonlarca milyonlarca
yook yok
uzerindeki üzerindeki
hakkini hakkını
yksek yüksek
olamazdi olamazdı
goz göz
olusturdu oluşturdu
kacirma kaçırma
olabilecegini olabileceğini
got göt
kalacagı kalacağı
gor gör
gidecez gideceğiz
absürd absürt
yuzden yüzden
yonu yönü
gok gök
tavirlari tavırları
amatorce amatörce
sonralari sonraları
olacagından olacağından
gidecem gideceğim
herkezi herkesi
duvarlari duvarları
herkeze herkese
arkdaslar arkadaşlar
odasina odasına
yone yöne
görmüs görmüş
herkesı herkesi
kurulusu kuruluşu
bitiryor bitiriyor
ekipi ekibi
ugratti uğrattı
ekipe ekibe
yakısıyor yakışıyor
kilifi kılıf
kufur küfür
zannetim zannettim
defasinda defasında
gulduren güldüren
uyarim uyarım
90lar 90'lar
bigiler bilgiler
pilastik plastik
haddınden haddinden
bşka başka
hepsıne hepsine
yucel yücel
orjınal orijinal
kapasıtenız kapasiteniz
geldı geldi
demeyın demeyin
zateb zaten
padisah padişah
istiyo istiyor
alinabilir alınabilir
basindaki basındaki
franck frank
yasindan yaşından
gelis geliş
dusunmem düşünmem
tey teyp
bşir bir
gelio geliyor
cikmayan çıkmayan
sayamadim sayamadım
sirf sırf
mehmete Mehmet'e
sorulmasi sorulması
yokk yok
sira şıra
sekerlı şekerli
agaci ağacı
ediyorlardi ediyorlardı
kalitesizligi kalitesizliği
etkıleyen etkileyen
cikti çıktı
songul Songül
