simdikilerde şimdikilerde
sahipligi sahipliği
benimsenmis benimsenmiş
yararlaniliyor yararlanılıyor
Ikilinin İkilinin
zorundadir zorundadır
üstük üştük
Agrin Ağrın
gostermeyin göstermeyin
izlememissiniz izlememişsiniz
oklarini oklarını
sıgdırma sığdırma
acimasizligi acımasızlığı
parlayacagini parlayacağını
tanidim tanıdım
uyusmamis uyuşmamış
acilır açılır
tanidik tanıdık
cikabilirmis çıkabilirmiş
kendisı kendisi
ögretir öğretir
atiliyor atılıyor
asagidan aşağıdan
kufrediyorum küfrediyorum
gülun gülün
cekimlerde çekimlerde
buyusune büyüsüne
boyamasin boyamasın
gecisleri geçişleri
dudaginin dudağının
idolu idolü
cıkarıyorsun çıkarıyorsun
olasiliklari olasılıkları
ugrasilmis uğraşılmış
miyavlayip miyavlayıp
gondermeyle göndermeyle
kucagina kucağına
oykulerden öykülerden
katmani katmanı
mesk meşk
vuruslar vuruşlar
çalisildigini çalışıldığını
sasirdigimi şaşırdığımı
sinifi sınıfı
Ivan İvan
DELIL DELİL
Pisa Pısa
begendiklerini beğendiklerini
calisiyoruz çalışıyoruz
siritmaz sırıtmaz
hazirlopcu hazırlopçu
atliyor atlıyor
fılmım filmim
cekenınde çekeninde
kisilikteki kişilikteki
yazdigi yazdığı
kırmazdi kırmazdı
gerçekmis gerçekmiş
tasiyacak taşıyacak
yaraticiyi yaratıcıyı
tuketmeyi tüketmeyi
EFENDIMIZIN EFENDİMİZİN
tıtrine titrine
vücutlari vücutları
siritmak sırıtmak
hatasiyla hatasıyla
gelisimlerine gelişimlerine
begendiğimi beğendiğimi
aniliyor anılıyor
cevigin çeviğin
kokorece kokoreçe
adamlarimizdan adamlarımızdan
cukuruna çukuruna
kaymagini kaymağını
yaklasmasi yaklaşması
görünüsünü görünüşünü
bunalticiydi bunaltıcıydı
konusmayin konuşmayın
biraktiği bıraktığı
omrunuzun ömrünüzün
yasarcasina yasarcasına
alakasizdi alakasızdı
serpildikce serpildikçe
Civıl Cıvıl
sığdıramamis sığdıramamış
etmissin etmişsin
dolanip dolanıp
yuregınız yüreğiniz
anladiktan anladıktan
duygularimla duygularımla
dolanin dolanın
bakanin bakanın
yakinina yakınına
dusunceyi düşünceyi
surukleyıcıdır sürükleyicidir
egleneceginiz eğleneceğiniz
koreden köreden
major majör
isigin ışığın
yasatilmak yasatılmak
yapimcilar yapımcılar
anlamamissiniz anlamamışsınız
tanidigimiz tanıdığımız
yasamayin yaşamayın
biliyorlardir biliyorlardır
duyurabilecegimiz duyurabileceğimiz
cambazi cambazı
gorselligiyle görselliğiyle
hayattayim hayattayım
ici içi
hatirlatti hatırlattı
calisiyorsa çalışıyorsa
yaklasmistim yaklaşmıştım
havasina havasına
begenilmesin beğenilmesin
konusmada konuşmada
uzaklasmadan uzaklaşmadan
ice içe
gidemedigi gidemediği
GITMEYIN GİTMEYİN
agizlarina ağızlarına
ızledıgımı izlediğimi
kurgulanis kurgulanış
oyunlariyla oyunlarıyla
kurgulanir kurgulanır
gerizekalilar gerizekalılar
dolari doları
Gozer Gözer
akibetini akıbetini
ilkyarisi ilkyarısı
guldurmeyin güldürmeyin
saglıya sağlıya
tanimayanlara tanımayanlara
Gülmemistik Gülmemiştik
aktorun aktörün
haketmedigini haketmediğini
bahs bahş
klasmaninda klasmanında
kitasindan kıtasından
anlatilabilecegini anlatılabileceğini
içerigi içeriği
gizledigi gizlediği
dogruyu doğruyu
yanindayim yanındayım
katılabilirdı katılabilirdi
layik layık
BITEN BİTEN
bakacagınız bakacağınız
elestirisindekine eleştirisindekine
çikarirken çıkarırken
elestirirsiniz eleştirirsiniz
saygiyla saygıyla
aktarilmaya aktarılmaya
sikayetçi şikayetçi
yapilmadigindan yapılmadığından
anasini anasını
saydim saydım
olusmasina oluşmasına
etkılenmıstım etkilenmiştim
asna aşna
cilginlar çılgınlar
konusmasina konuşmasına
bakacaksiniz bakacaksınız
baglamıs bağlamış
Inanılmaz İnanılmaz
VIDEO VİDEO
saçmaliktir saçmalıktır
niteleyebilecegimiz niteleyebileceğimiz
demissiniz demişsiniz
yargili yargılı
bagladi bağladı
yapilamazdi yapılamazdı
yazilmis yazılmış
dagitmaktan dağıtmaktan
birakamadim bırakamadım
yardirmayalim yardırmayalım
ozguvenden özgüvenden
cevrimi çevrimi
Andi Andı
puanidir puanıdır
seyrettigimde seyrettiğimde
Hisari Hisarı
biktik bıktık
izliyorlarmıs izliyorlarmış
ovguyu övgüyü
GARİ GARI
dolarlik dolarlık
Izlenilmeden İzlenilmeden
gözlemlemis gözlemlemiş
ugrasiyor uğraşıyor
bedenınde bedeninde
agladım ağladım
agladık ağladık
dogasinin doğasının
bulmamistim bulmamıştım
hafizaya hafızaya
skec skeç
fılmıne filmine
çekildigini çekildiğini
gondermeydi göndermeydi
parasütle paraşütle
çiktigi çıktığı
ayrintisiz ayrıntısız
abartip abartıp
yonetilmis yönetilmiş
ögrenciyle öğrenciyle
guldurmeyen güldürmeyen
anlatis anlatış
ugrasmamis uğraşmamış
ipucları ipuçları
dünyasindan dünyasından
gözyasi gözyaşı
saskınız şaşkınız
becerememis becerememiş
becermis becermiş
anlasildi anlaşıldı
harcamissiniz harcamışsınız
birakacak bırakacak
gulmem gülmem
mirac miraç
gulmek gülmek
kardeslige kardeşliğe
aska aşka
dusuncesi düşüncesi
açıklayin açıklayın
varacagi varacağı
saskınım şaşkınım
beklendigi beklendiği
deginilmiş değinilmiş
yapimciligi yapımcılığı
cizginin çizginin
siritma sırıtma
birakmaya bırakmaya
ihtiraslarindan ihtiraslarından
yonettigi yönettiği
tirmanirken tırmanırken
parçalanmis parçalanmış
zamanlarin zamanların
sablona şablona
çiktim çıktım
sifalan şifalan
sinamalarda sınamalarda
cıkarırız çıkarırız
ikiyuzlu ikiyüzlü
pesınde pesinde
komedısını komedisini
heyecanlandiriyor heyecanlandırıyor
yapistiranlar yapıştıranlar
arabeskcilere arabeskçilere
sıkabıliyor sıkabiliyor
fotografın fotoğrafın
katila katıla
anlatilamayacak anlatılamayacak
ugrasilsa uğraşılsa
hatirlamadiginiz hatırlamadığınız
cingıllarından çıngıllarından
çalisir çalışır
çalisip çalışıp
anlarinda anlarında
bakişlardan bakışlardan
sunmasiydi sunmasıydı
basarabiliyorsunuz başarabiliyorsunuz
kaydigini kaydığını
bebegini bebeğini
ilhami ilhamı
hesapliyorum hesaplıyorum
Bon Bön
MUHENDİSİ MÜHENDİSİ
aktarilmalı aktarılmalı
gezdirdigi gezdirdiği
Yasananlarin Yasananların
yaratsaydi yaratsaydı
baslasa başlaşa
gassalın gassalin
Bog Böğ
Koreye Köreye
aniriyor anırıyor
tıklımdı tiklimdi
elestirmenleri eleştirmenleri
izlemelesiniz izlemeleşiniz
aglatmalik ağlatmalık
uyarlamalarindan uyarlamalarından
Memati Mematı
Seddi Şeddi
use üşe
yapabildigin yapabildiğin
araçlarinin araçlarının
karsimiza karşımıza
Yapildiysa Yapıldıysa
bitisi bitişi
kardesiyle kardeşiyle
degılde değilde
sasirtmayarak şaşırtmayarak
cumlelerden cümlelerden
tasindigi taşındığı
güldürmüs güldürmüş
Irene İrene
muzigini müziğini
hastaligiyla hastalığıyla
düsündünüz düşündünüz
sasırmıs şaşırmış
zorladim zorladım
Savini Savını
Ambulanssiz Ambulanssız
ayrilikci ayrılıkçı
yemisti yemişti
aralayip aralayıp
babanizla babanızla
kazanmis kazanmış
taclandırıyorum taçlandırıyorum
gondermeler göndermeler
siradanlikta sıradanlıkta
yildizina yıldızına
Ulkesinden Ülkesinden
romaninin romanının
Gudule Güdüle
çarpitmadan çarpıtmadan
gününu gününü
yapilmasaydi yapılmasaydı
amaçlamis amaçlamış
suruklemiyor sürüklemiyor
gülüslerden gülüşlerden
atladigini atladığını
formulü formülü
karılarınin karılarının
unutacaginiz unutacağınız
çatismasina çatışmasına
yaklasmislardi yaklaşmışlardı
isterdım isterdim
ortakliginin ortaklığının
yaratmisti yaratmıştı
kulture kültüre
hatirlatir hatırlatır
bastigi bastığı
yazmamis yazmamış
üstunde üstünde
duygusallikta duygusallıkta
noktanin noktanın
delige deliğe
karsilastiramiyorum karşılaştıramıyorum
yazmamin yazmamın
birakmaktir bırakmaktır
meclıstekı meclisteki
kaptirip kaptırıp
aşıgim aşığım
kliselerle klişelerle
altindakilerin altındakilerin
yasayacaginiz yasayacağınız
anlatilabilir anlatılabilir
başladiklari başladıkları
çikarlar çıkarlar
karsiliginda karşılığında
dırıl diril
dünyasinin dünyasının
vatandir vatandır
begenmeyeceginiz beğenmeyeceğiniz
seruvende serüvende
ucgenine üçgenine
dusunceli düşünceli
caresizligini çaresizliğini
önyargilarini önyargılarını
gerılımı gerilimi
eksiside ekşiside
belirginlesen belirginleşen
kopyasi kopyası
yettigi yettiği
Odi Odı
cikilmis çıkılmış
katabilmis katabilmiş
pısmanlıklarımızın pişmanlıklarımızın
aksamamasi aksamaması
farkliliklari farklılıkları
paylasiyorlar paylaşıyorlar
patlamasini patlamasını
sallanip şallanıp
karistirdilar karıştırdılar
yapilmamisti yapılmamıştı
gulumsemekten gülümsemekten
sorgulatir sorgulatır
agabey ağabey
farkliliklara farklılıklara
Dahasida Dahasıda
surukler sürükler
Sinirlendikce Sinirlendikçe
İzledikce İzledikçe
teknigindeki tekniğindeki
muhtesemde muhteşemde
çigir çığır
kaybolabileceginiz kaybolabileceğiniz
yapsalarmis yapsalarmış
dönüsün dönüşün
dönüsüm dönüşüm
dansli danslı
İranın Iranın
siklet sıklet
fazlasanı fazlaşanı
göremedigimiz göremediğimiz
aralarina aralarına
une üne
romanlarini romanlarını
kolayci kolaycı
saçmalığimiz saçmalığımız
kliselikten klişelikten
Yutani Yutanı
gerçekligine gerçekliğine
kurmasini kurmasını
dolayidir dolayıdır
tutamadim tutamadım
izlenildiginde izlenildiğinde
yapamiyor yapamıyor
elestiriyi eleştiriyi
Içimi İçimi
gorseydik görseydik
cekmişsiniz çekmişsiniz
romanlarina romanlarına
boganin boğanın
yakinlastirabilmisler yakınlaştırabilmişler
elestiriye eleştiriye
dilegimdir dileğimdir
bulmamis bulmamış
girismesin girişmesin
sorgulatmis sorgulatmış
yaşantılarımizi yaşantılarımızı
cıkılarak çıkılarak
İrkilebileceginiz İrkilebileceğiniz
turkmus türkmüş
karsilamayacak karşılamayacak
açilmasi açılması
sacmalamayacaksin saçmalamayacaksın
yormayalim yormayalım
duygulandirmaya duygulandırmaya
tanittigi tanıttığı
SİKİYİM SIKIYIM
hafizani hafızanı
inandiriciliklari inandırıcılıkları
çocuklarimla çocuklarımla
BAGLAYICILIK BAĞLAYICILIK
Iyonya İyonya
seyretmisim seyretmişim
kasirlastirmadan kasırlaştırmadan
çıkarmıştim çıkarmıştım
uniformayi üniformayı
karistirmis karıştırmış
romaninda romanında
Dogruya Doğruya
HITAP HİTAP
ugramadim uğramadım
sanatçi sanatçı
becermisti becermişti
heyecanlandirmak heyecanlandırmak
gercekler gerçekler
bulacaksiniz bulacaksınız
yapimlar yapımlar
parkınson parkinson
begenmiyorsan beğenmiyorsan
Intikamdir İntikamdır
karsilasiriz karşılaşırız
İzleyebileceginiz İzleyebileceğiniz
ızlemıs izlemiş
gecısler geçişler
Ozpetek Özpetek
dokudugu dokuduğu
masalsi masalsı
yasadiklariyla yaşadıklarıyla
sıddetı şiddeti
yaniti yanıtı
inandiriciligini inandırıcılığını
kullanicimizin kullanıcımızın
cekileceğini çekileceğini
birlikteligine birlikteliğine
çalışılmıs çalışılmış
izlememisler izlememişler
uzatilmamasi uzatılmaması
haçli haçlı
tutarsizlik tutarsızlık
FETIH FETİH
düşünememıştik düşünememiştik
münasıp münasip
yukleyemeyen yükleyemeyen
Idefiks İdefiks
yaptirirlardi yaptırırlardı
siritan sırıtan
lının linin
kaslarinin kaslarının
izledigimiz izlediğimiz
baktiginizi baktığınızı
oyunculuklarina oyunculuklarına
yasatildigi yaşatıldığı
iskenceyi işkenceyi
ulumalari ulumaları
oluşamamasi oluşamaması
yonettiginin yönettiğinin
ayakkabisinin ayakkabısının
akıldışı akıldişi
öfkeliyı öfkeliyi
kirabildigi kırabildiği
tirmaniyordu tırmanıyordu
kurtarabilmis kurtarabilmiş
ların larin
alişan alışan
koğustaki koğuştaki
abartiyorlar abartıyorlar
onyargilara önyargılara
fılmınden filminden
dublorsüz dublörsüz
yasamasi yasaması
bütünlesmis bütünleşmiş
yaklastirabilsin yaklaştırabilsin
şafaği şafağı
inatmis inatmış
hatirlatan hatırlatan
sinirlarda sınırlarda
süslemisler süslemişler
duygusallikla duygusallıkla
darbesıyle darbesiyle
eglencelik eğlencelik
Darin Darın
sehitlere şehitlere
duşürmediği düşürmediği
cikmazdi çıkmazdı
aradiğinizi aradığınızı
uyandirmadi uyandırmadı
Uçer Üçer
kullanir kullanır
hayatiyla hayatıyla
psikologa psikoloğa
sirrini sırrını
ogeler ögeler
sahsin şahsin
ozetler özetler
yaramamis yaramamış
elestirisi eleştirisi
cikamiyorum çıkamıyorum
açilis açılış
tamamlanmamis tamamlanmamış
zekaniz zekanız
açilip açılıp
ayrilmis ayrılmış
Sisirip Şişirip
ciksin çıksın
yapabilecegini yapabileceğini
geliştikce geliştikçe
vakasi vakası
katlanamadim katlanamadım
mantiga mantığa
Celikkol Çelikkol
yasattigi yasattığı
karistirmaktan karıştırmaktan
düsmeyip düşmeyip
çaldi çaldı
yaratmistir yaratmıştır
yaslandigini yaslandığını
cikmamis çıkmamış
cıgır çığır
elestirilerine eleştirilerine
sevmisim şevmişim
basrol başrol
arzi arzı
begenebilirsiniz beğenebilirsiniz
dublajli dublajlı
egitiminin eğitiminin
dinazorlari dinazorları
gormesin görmesin
çıkmazi çıkmazı
çıkmiş çıkmış
somali somalı
düsmesine düşmesine
sarilarak sarılarak
yakisabilirdi yakışabilirdi
kaybetmistir kaybetmiştir
yogrulduklarini yoğrulduklarını
ıronık ironik
Caplan Çaplan
Florence Flörence
komiklesmis komikleşmiş
baskalastirildi başkalaştırıldı
iliskilerinizi ilişkilerinizi
zamaninizin zamanınızın
kesmemisler kesmemişler
oyunculugu oyunculuğu
Ilkler İlkler
yozlasmis yozlaşmış
mustahakini müstahakını
gidemeyisi gidemeyişi
Yalini Yalını
yapimcilarin yapımcıların
öldürmedigi öldürmediği
olmadiğini olmadığını
mantigiyla mantığıyla
çikarmiyor çıkarmıyor
alçalmis alçalmış
dünyasini dünyasını
bikmayan bıkmayan
begeneceklerini beğeneceklerini
oyunculuga oyunculuğa
dakikalarindaki dakikalarındaki
cikartilabilirdi çıkartılabilirdi
enstrumanlarını enstrümanlarını
bulamamis bulamamış
dünyasina dünyasına
TÜPRAS TÜPRAŞ
bozmussunuz bozmuşsunuz
başrolu başrolü
gurese güreşe
alkislandi alkışlandı
bayilmadim bayılmadım
anlatilsin anlatılsın
niteligindeydi niteliğindeydi
yanini yanını
aldattilar aldattılar
vuralim vuralım
edindigi edindiği
anlamamişlar anlamamışlar
canlarim çanlarım
cikacaktim çıkacaktım
geçirdigimi geçirdiğimi
anlayacaklardir anlayacaklardır
yasatircasina yaşatırcasına
kesfetme keşfetme
avuclarimi avuçlarımı
uyumalik uyumalık
gitarci gitarcı
zekasindan zekasından
çigliga çığlığa
sanatini sanatını
dokunakli dokunaklı
izledigimde izlediğimde
bagdastigi bağdaştığı
taşlanir taşlanır
duygulariyla duygularıyla
acilisi açılısı
sanatina sanatına
çabalari çabaları
gömüldügü gömüldüğü
legolas legolaş
MacSam MaçSam
alısır alışır
Ones Öneş
vericiligi vericiliği
metrajinda metrajında
hayranlarin hayranların
Izlenmesini İzlenmesini
agzinin ağzının
sindirdigim sindirdiğim
CALISTIKLARI ÇALIŞTIKLARI
kore köre
vucutlarından vücutlarından
kazayi kazayı
düsmeyen düşmeyen
bunalimini bunalımını
urpertici ürpertici
takmamis takmamış
takilmak takılmak
gormeyecekmisim görmeyecekmişim
hir hır
amacsiz amaçsız
kullandigini kullandığını
daldim daldım
politikasiyla politikasıyla
çalisildigi çalışıldığı
delilige deliliğe
iddialiydı iddialıydı
kostumler kostümler
gormemi görmemi
çigliklarla çığlıklarla
kasmasaydıniz kasmasaydınız
yalvaririm yalvarırım
cocukken çocukken
cografyasında coğrafyasında
dayanısması dayanışması
elestirimi eleştirimi
yollarin yolların
darmadagın darmadağın
masalin maşalın
iliskilendirmeyi ilişkilendirmeyi
gecmeliydi geçmeliydi
timsahin timsahın
olmasaniz olmasanız
saçmasi saçması
fılmden filmden
catismalari çatışmaları
urattı ürattı
Aglamakli Ağlamaklı
alirken alırken
yansitildigi yansıtıldığı
tutalim tutalım
zamaninizda zamanınızda
göreceginizi göreceğinizi
yapitlar yapıtlar
susmayi susmayı
askinin aşkının
aglatalım ağlatalım
farkliligini farklılığını
guzellestigini güzelleştiğini
ögrettiler öğrettiler
anlayacaksiniz anlayacaksınız
basarilimi başarılımı
produktoru prodüktörü
yapimcilarda yapımcılarda
sanssizlik şanssızlık
gelisimini gelişimini
derinlesecek derinleşecek
gecercesine geçercesine
duygularin duyguların
aysin aysın
zamanimiza zamanımıza
goruntulerini görüntülerini
deginmeden değinmeden
ettırebılen ettirebilen
hastalikli hastalıklı
kısılıklerı kişilikleri
özledigimiz özlediğimiz
surdakı surdaki
yilisik yılışık
huzunlenmemek hüzünlenmemek
saçmakı saçmaki
liğini lığını
açilar açılar
rolun rolün
karistirmalari karıştırmaları
Ignacio İgnacio
yaziminda yazımında
gidecegime gideceğime
ciksak çıksak
çikartacak çıkartacak
haklilarmis haklılarmış
algisinin algısının
düsünmeye düşünmeye
guncellemiyorsunuz güncellemiyorsunuz
ziplamalar zıplamalar
ordulari orduları
indirilmisler indirilmişler
mazosist mazoşist
çikartmaya çıkartmaya
Oynadigim Oynadığım
cekeyim çekeyim
uzucuydu üzücüydü
hukümetinin hükümetinin
kötülügünden kötülüğünden
aksiyonlarindan aksiyonlarından
ugrasmayip uğraşmayıp
andiriyor andırıyor
Korede Körede
izlediginize izlediğinize
seyredebileceginiz seyredebileceğiniz
ogullarina oğullarına
geçisleri geçişleri
ıstegını isteğini
çikararak çıkararak
anlasilmasin anlaşılmasın
ufacikta ufacıkta
dışılığı dişiliği
Landi Landı
deginmis değinmiş
iliskilendirmek ilişkilendirmek
sövalye şövalye
kücümsemişler küçümsemişler
götürmüs götürmüş
katsalardi katsalardı
yasattigimiz yasattığımız
varilamadan varılamadan
ispatliyor ispatlıyor
taktiginin taktiğinin
calissalardi çalışsalardı
cilalanip cilalanıp
babinda babında
degismesiyle değişmesiyle
niyazi niyazı
disindaki dışındaki
dozaji dozajı
kole köle
yaralarinin yaralarının
EDENLERIN EDENLERİN
dostlarinin dostlarının
oynanmis oynanmış
ıyorum iyorum
takipcilerini takipçilerini
onemsenmemis önemsenmemiş
kusatan kuşatan
farketmemesı farketmemesi
baskarakterlerin başkarakterlerin
almas almaş
gulduruyor güldürüyor
cekiyorum çekiyorum
menusünün menüsünün
yanitlarken yanıtlarken
yanardagdan yanardağdan
cekilmeli çekilmeli
umarin umarın
kurgulamis kurgulamış
davranirdim davranırdım
hazirlanis hazırlanış
Goyer Göyer
yamayi yamayı
baslamis başlamış
gosterilemiyor gösterilemiyor
heyecanlandirmasin heyecanlandırmasın
yakinsaniz yakınsanız
hazirlanin hazırlanın
gömlegin gömleğin
zamanidir zamanıdır
sekıllendırılmıs sekillendirilmiş
deginselerdi değinselerdi
Ciristin Çiriştin
muziklerle müziklerle
yaklasmis yaklaşmış
yuklemisler yüklemişler
basrollerin başrollerin
cilki cılkı
baglanmamıs bağlanmamış
ustalikla ustalıkla
bastirmaya bastırmaya
vazgeçebilecegini vazgeçebileceğini
Avi Avı
sasirmamak şaşırmamak
noktalarindaki noktalarındaki
anlamayacaksiniz anlamayacaksınız
begenilecektir beğenilecektir
etkilendigin etkilendiğin
Ozun Özün
etkilendigim etkilendiğim
bitirmis bitirmiş
istirak iştirak
adamsiniz adamsınız
şaklabanlik şaklabanlık
gorusumdur görüşümdür
susmasi susması
fiçisindan fıçısından
karsilasacaginizi karşılaşacağınızı
olmazlarindan olmazlarından
necati necatı
baglayamamislar bağlayamamışlar
Islam İslam
olmemisti ölmemişti
ayiplayasim ayıplayasım
cük çük
yetenegini yeteneğini
yakısmis yakışmış
Jone Jöne
vurdugu vurduğu
yetenegine yeteneğine
cıkıslarla çıkışlarla
ızleyemezdım izleyemezdim
taninmis taninmiş
elestirisinin eleştirisinin
baslamistir başlamıştır
sikilacak sıkılacak
yillikta yıllıkta
sicilir sıçılır
dagildi dağıldı
yaymis yaymış
ciğim çiğim
degirmenleri değirmenleri
atlamamali atlamamalı
asmis asmış
yasamis yasamış
cekmeyin çekmeyin
yenilige yeniliğe
yasamin yaşamın
uzatmanin uzatmanın
konuşmayin konuşmayın
savasini savasını
duygulandirdi duygulandırdı
gösterilmemis gösterilmemiş
düsündügümüz düşündüğümüz
disleri dişleri
savasina savasına
gıcıklayici gıcıklayıcı
kararli kararlı
tıpki tıpkı
yapistirirken yapıştırırken
ormanlarindaki ormanlarındaki
yasattirdi yasattırdı
Odaksizligini Odaksızlığını
korumasiz korumasız
cekilmistir çekilmiştir
kolaylastırmıs kolaylaştırmış
gorurseniz görürseniz
netlestirdikten netleştirdikten
gitmistir gitmiştir
Hassani Hassanı
cekicle çekiçle
karşimizda karşımızda
gorenler görenler
esligindeki eşliğindeki
kaygisi kaygısı
çikabilirdi çıkabilirdi
farkedemeyecegini farkedemeyeceğini
geçmisi geçmişi
birakmayacak bırakmayacak
gördügümüzde gördüğümüzde
geçmise geçmişe
döküldügü döküldüğü
guldurun güldürün
gururlandiran gururlandıran
dublajsiz dublajsız
çikislarinin çıkışlarının
izlemis izlemiş
yazmayin yazmayın
Talkin Talkın
cekelim çekelim
alınmiş alınmış
basli başlı
kalakaliyor kalakalıyor
yönetmis yönetmiş
anlasin anlasın
parlaklasmasi parlaklaşması
çiçekci çiçekçi
röportajina röportajına
celikmis çelikmiş
çikarmislar çıkarmışlar
algisi algısı
mahvetmis mahvetmiş
Sinamayı Sınamayı
sakalasiyorlarmis şakalaşıyorlarmış
kutlamalarinin kutlamalarının
ahmaktir ahmaktır
Salem Şalem
sehitler şehitler
konusulmasi konuşulması
kardesimize kardeşimize
andiran andıran
ulasildigini ulaşıldığını
cambazin cambazın
alisindaki alışındaki
ayicigin ayıcığın
aglarken ağlarken
şakırt şakirt
kararlarin kararların
atlattiktan atlattıktan
dagilan dağılan
hisarin hisarın
yansimamis yansımamış
tizligi tizliği
benligi benliği
kaygisiyla kaygısıyla
sasiriyorum şaşırıyorum
süphelenmeye şüphelenmeye
çiksin çıksın
hizlanma hızlanma
çagrıyı çağrıyı
Lıam Liam
islendigine işlendiğine
duygulandiran duygulandıran
yapmasinin yapmasının
yanimdaki yanımdaki
yaslanmamasi yaşlanmaması
patlatildigi patlatıldığı
basarisina başarışına
Komşularinizla Komşularınızla
çikarilacak çıkarılacak
çikariyor çıkarıyor
gelismeye gelişmeye
geçeceginden geçeceğinden
bozuntularini bozuntularını
ciler çiler
Yaraticiya Yaratıcıya
saire şaire
CIDDI CİDDİ
çikarilmaya çıkarılmaya
ekranlarinda ekranlarında
yasaminizdan yaşamınızdan
gozetmeden gözetmeden
SAHNELERIYLE ŞAHNELERİYLE
yazisinda yazışında
cikacagi çıkacağı
aglatmak ağlatmak
eskiya eşkıya
zamanindan zamanından
tadindaki tadındaki
karikatürlestirilmis karikatürleştirilmiş
kisilikli kişilikli
oynamistir oynamıştır
oynamıs oynamış
Universaldan Üniversaldan
kisilikle kişilikle
yuvasiydi yuvasıydı
dakikadir dakikadır
insanoglunun insanoğlunun
kazaniyor kazanıyor
çevirdigi çevirdiği
cök çök
baglanamamis bağlanamamış
bolunmesi bölünmesi
düsmanlık düşmanlık
abartırmıs abartırmış
düsünsün düşünsün
esinlenmis esinlenmiş
baslamaz başlamaz
yasamdi yasamdı
hıssetmenın hissetmenin
olusumunu oluşumunu
ögrettikleri öğrettikleri
gercekciligi gerçekçiliği
sarhosu sarhoşu
çuk çük
zekamiza zekamıza
ordularin orduların
dayanmasina dayanmasına
asklarim aşklarım
bulussa buluşsa
Izler İzler
gosterilmesini gösterilmesini
sordurdugunda sordurduğunda
islenisi islenişi
travmasini travmasını
heyecani heyecanı
aldigini aldığını
mesajsiz mesajsız
hayranlıgım hayranlığım
takilabiliyorsunuz takılabiliyorsunuz
cogumuzun çoğumuzun
Izlemediginizde İzlemediğinizde
aldigina aldığına
başucumda başuçumda
açikta açıkta
mirasi mirası
arıfın arifin
muslumanlari müslümanları
yargisiyla yargısıyla
kurulsaydi kurulsaydı
bogdu boğdu
duyarlilikla duyarlılıkla
dayandim dayandım
boylesı böylesi
Şasmaz Şaşmaz
dayandik dayandık
Bagira Bağıra
Ami Amı
inananlari inananları
aldigimi aldığımı
çalinmasina çalınmasına
Aktug Aktuğ
HİCKİRA HIÇKIRA
gururlandirmaktan gururlandırmaktan
Nature Natüre
olmayanlari olmayanları
attilarsa attılarsa
bunalimlarla bunalımlarla
savciliga savcılığa
ilahlastirilmasi ilahlaştırılması
çiyanlara çıyanlara
soyleyebilir söyleyebilir
bulmustur bulmuştur
butunlemeler bütünlemeler
YERLI YERLİ
kutlamalarinda kutlamalarında
kullanmamasi kullanmaması
kazanmasina kazanmasına
sinirlari sınırları
alinabilirdi alınabilirdi
Omru Ömrü
düsüncemden düşüncemden
duymadiniz duymadınız
yenmis yenmiş
salonlarindan salonlarından
Sinaması Sınaması
ilerlediginde ilerlediğinde
olamiyorum olamıyorum
yorumlariyla yorumlarıyla
yaptigini yaptığını
begenmeseniz beğenmeseniz
çelisiyor çelişiyor
gulduklerimden güldüklerimden
aramadıgımı aramadığımı
kazanir kazanır
vahsetin vahşetin
dolandiriyorlar dolandırıyorlar
cikinca çıkınca
anlarini anlarını
buluğ büluğ
alısılagelmıs alışılagelmiş
savasta savaşta
hakkinı hakkını
siralayacagini sıralayacağını
yapilabilseydi yapılabilseydi
iscisinin işçisinin
hatiri hatırı
Açlik Açlık
OLDÜRMEYİ ÖLDÜRMEYİ
basyapitlarindan başyapıtlarından
cektiniz çektiniz
cogalsin çoğalsın
çalisirken çalışırken
guldurme güldürme
fragmani fragmanı
tiğ tığ
kisaydi kısaydı
siralamasinda sıralamasında
Yozlastirilmaya Yozlaştırılmaya
yansitamamislar yansıtamamışlar
icsin içsin
sarmadi sarmadı
çalisalim çalışalım
harcamişlar harcamışlar
savassa savaşsa
bogan boğan
fotograflamak fotoğraflamak
cikarmasi çıkarması
Susumu Süsümü
abartmislar abartmışlar
savaslı savaşlı
atayim atayım
çekmezsın çekmezsin
okumamistim okumamıştım
dayandigi dayandığı
ulkeyseniz ülkeyseniz
bayiliriz bayılırız
vicdansizlari vicdansızları
özlemisiz özlemişiz
açimdan açımdan
tasini taşını
çiksam çıksam
gencini gençini
yönelttigini yönelttiğini
gencine gençine
yargimdan yargımdan
basliyoruz başlıyoruz
silahsiz silahsız
cikmayin çıkmayın
konusmalarini konuşmalarını
zulümü zülümü
hayâldi hayâldı
yazdigini yazdığını
soyler söyler
zorlamasiyla zorlamasıyla
sosyopati sosyopatı
soracaktir soracaktır
sikistirilmis sikiştirilmiş
aras araş
gercekligin gerçekliğin
hatirladigimdir hatırladığımdır
tanimayan tanımayan
begenmeyene beğenmeyene
bahsedildigi bahşedildiği
sujeler süjeler
görünüslü görünüşlü
düsündügü düşündüğü
gerceklestiriyorlar gerçekleştiriyorlar
bicimini biçimini
sanirim sanırım
firkateyni fırkateyni
karsilayacagini karşılayacağını
kapuşonlu kapüşonlu
dalinda dalında
argumana argümana
deginiyorsa değiniyorsa
begendigini beğendiğini
egolarini egolarını
kötülügü kötülüğü
özenilmemis özenilmemiş
bukulmesi bükülmesi
